operon_no.	start_gene	last_gene	start_position	last_position	strand	in_operon	P1	P2	P3	P4	TSS type	number of TSS	internal 	flag	non-coding	RNA
2270	CCNA_03848	CCNA_03848	4014820	4013963	-	n	4014942	4014842	x	x	POTENTIAL	multiple	n	simple	0	x
2268	CCNA_03846	CCNA_03845	4013048	4011623	-	y	4013048	x	x	x	POTENTIAL	1	n	simple	0	x
2266	CCNA_03842	CCNA_03840	4009598	4006251	-	y	4009733	x	x	x	TRUE	1	y	complex	0	x
2263	CCNA_03837	CCNA_03837	4003088	4002543	-	n	4003137	4003119	x	x	TRUE	multiple	n	complex	0	x
2262	CCNA_03836	CCNA_03834	4002472	3998875	-	y	4002472	x	x	x	TRUE	1	y	complex	0	x
2262.1	CCNA_03833	CCNA_03833	3998809	3997994	-	n	3998836	x	x	x	TRUE	1	n	simple	0	x
2260	CCNA_03829	CCNA_03829	3994335	3994195	-	n	x	x	x	x	NO	0	n	simple	0	x
2258	CCNA_03826	CCNA_03825	3992325	3991412	-	y	3992352	x	x	x	TRUE	1	y	complex	0	x
2255	CCNA_03822	CCNA_03822	3989051	3988188	-	n	x	x	x	x	NO	0	n	simple	0	x
2252	CCNA_03818	CCNA_03818	3983132	3982782	-	n	x	x	x	x	NO	0	y	complex	0	x
2250	CCNA_03816	CCNA_03816	3981811	3979685	-	n	3981834	x	x	x	POTENTIAL	1	n	simple	0	x
2249	CCNA_03815	CCNA_03815	3979619	3978651	-	n	x	x	x	x	NO	0	n	simple	0	x
2248	CCNA_03814	CCNA_03814	3978591	3978070	-	n	x	x	x	x	NO	0	n	simple	0	x
2245	CCNA_03811	CCNA_03811	3975687	3974785	-	n	3975687	x	x	x	POTENTIAL	1	n	simple	0	x
2243	CCNA_03805	CCNA_03804	3970834	3969955	-	y	3970859	x	x	x	TRUE	1	n	simple	0	x
2240	CCNA_03800	CCNA_03797	3964194	3960736	-	y	3964194	x	x	x	POTENTIAL	1	n	simple	0	x
2236	CCNA_03793	CCNA_03792	3957831	3956266	-	y	3957831	x	x	x	TRUE	1	n	simple	0	x
2235	CCNA_03791	CCNA_03791	3956165	3955605	-	n	x	x	x	x	NO	0	n	simple	0	x
2233	CCNA_03789	CCNA_03789	3955206	3954823	-	n	3955246	x	x	x	POTENTIAL	1	n	simple	0	x
2231	CCNA_03784	CCNA_03784	3952418	3951525	-	n	x	x	x	x	NO	0	n	simple	0	x
2229	CCNA_03781	CCNA_03781	3950007	3947320	-	n	3950133	x	x	x	TRUE	1	n	simple	0	x
2228	CCNA_03780	CCNA_03780	3947149	3946415	-	n	3947150	x	x	x	POTENTIAL	1	n	simple	0	x
2227	CCNA_03779	CCNA_03779	3945886	3945554	-	n	3945886	x	x	x	TRUE	1	n	simple	0	x
2225	CCNA_03777	CCNA_03776	3944514	3942909	-	y	3944537	x	x	x	TRUE	1	n	simple	0	x
2223	CCNA_03774	CCNA_03773	3942390	3940458	-	y	x	x	x	x	NO	0	y	complex	0	x
2220	CCNA_03770	CCNA_03769	3938833	3937233	-	y	x	x	x	x	NO	0	y	complex	0	x
2219	CCNA_03768	CCNA_03765	3936891	3933616	-	y	3937043	x	x	x	TRUE	1	n	simple	0	x
2217	CCNA_03763	CCNA_03763	3932676	3931762	-	n	3932676	x	x	x	POTENTIAL	1	n	simple	0	x
2214	CCNA_03759	CCNA_03759	3930313	3929285	-	n	x	x	x	x	NO	0	y	complex	0	x
2212	CCNA_03757	CCNA_03755	3928056	3924496	-	y	3928348	x	x	x	POTENTIAL	1	n	simple	0	x
2211	CCNA_03754	CCNA_03753	3924376	3922579	-	y	3924399	x	x	x	TRUE	1	n	simple	0	x
2209	CCNA_03751	CCNA_03751	3921557	3921045	-	n	3921562	x	x	x	TRUE	1	n	simple	0	x
2206	CCNA_03747	CCNA_03747	3918117	3917092	-	n	x	x	x	x	NO	0	n	simple	0	x
2204	CCNA_03745	CCNA_03745	3915603	3914761	-	n	3915606	x	x	x	TRUE	1	n	simple	0	x
2203	CCNA_03744	CCNA_03743	3914687	3912262	-	y	3914713	x	x	x	TRUE	1	y	complex	0	x
2201	CCNA_03741	CCNA_03741	3911783	3910659	-	n	x	x	x	x	NO	0	n	simple	0	x
2200	CCNA_03740	CCNA_03739	3910591	3909131	-	y	3910618	x	x	x	TRUE	1	n	simple	0	x
2196	CCNA_03734	CCNA_03734	3903977	3901941	-	n	3904020	x	x	x	TRUE	1	n	simple	0	x
2195	CCNA_03733	CCNA_03733	3901846	3900536	-	n	3901894	x	x	x	TRUE	1	n	simple	0	x
2193	CCNA_03731	CCNA_03730	3899293	3897870	-	y	3899293	x	x	x	TRUE	1	n	simple	0	x
2192	CCNA_03729	CCNA_03729	3897797	3897144	-	n	x	x	x	x	NO	0	n	simple	0	x
2191	CCNA_03728	CCNA_03728	3897006	3896761	-	n	3897026	x	x	x	TRUE	1	n	simple	0	x
2189	CCNA_03726	CCNA_03726	3895518	3894358	-	n	3895557	x	x	x	TRUE	1	y	complex	0	x
2186	CCNA_03723	CCNA_03723	3891827	3891390	-	n	3891854	x	x	x	POTENTIAL	1	n	simple	0	x
2183	CCNA_03719	CCNA_03719	3884981	3884181	-	n	3885000	x	x	x	POTENTIAL	1	n	simple	0	x
2181.5	CCNA_03717	CCNA_03716	3882609	3881363	-	y	3882882	x	x	x	TRUE	1	y	complex	0	x
2181	CCNA_03715	CCNA_03714	3881304	3879977	-	y	3881424	3881413	3881401	x	TRUE	multiple	n	complex	0	x
2181.1	CCNA_03713	CCNA_03712	3879838	3877681	-	y	3879862	3879854	x	x	TRUE	multiple	y	complex	0	x
2180	CCNA_03711	CCNA_03710	3877617	3876441	-	y	3877617	x	x	x	TRUE	1	y	complex	0	x
2179	CCNA_03709	CCNA_03708	3876276	3875483	-	y	x	x	x	x	NO	0	n	simple	0	x
2175	CCNA_03704	CCNA_03703	3873636	3871549	-	y	3873745	3873677	x	x	TRUE	multiple	y	complex	0	x
2175.1	CCNA_03702	CCNA_03702	3871400	3869691	-	n	3871602	3871470	x	x	TRUE	multiple	n	complex	0	x
2174	CCNA_03701	CCNA_03701	3869488	3869198	-	n	3869525	3869514	x	x	TRUE	multiple	n	complex	0	x
2173	CCNA_03700	CCNA_03700	3869116	3868697	-	n	3869142	x	x	x	TRUE	1	n	simple	0	x
2168	CCNA_03693	CCNA_03693	3859836	3859081	-	n	3859858	x	x	x	TRUE	1	n	simple	0	x
2165.1	CCNA_03691	CCNA_03691	3857842	3856964	-	n	3857869	x	x	x	TRUE	1	n	simple	0	x
2165	CCNA_03690	CCNA_03690	3856797	3856093	-	n	x	x	x	x	NO	0	n	simple	0	x
2163	CCNA_03688	CCNA_03687	3854765	3853392	-	y	3854765	x	x	x	TRUE	1	n	simple	0	x
2162	CCNA_03686	CCNA_03685	3853318	3846049	-	y	3853337	x	x	x	TRUE	1	n	simple	0	x
2160	CCNA_03681	CCNA_03679	3843646	3838736	-	y	3843816	3843788	x	x	TRUE	multiple	y	complex	0	x
2158	CCNA_03677	CCNA_03677	3837808	3836597	-	n	3837889	x	x	x	TRUE	1	n	simple	0	x
2156	CCNA_03674	CCNA_03673	3834130	3833388	-	y	3834204	3834178	x	x	TRUE	multiple	n	complex	0	x
2155	CCNA_03672	CCNA_03672	3833166	3832546	-	n	3833215	x	x	x	TRUE	1	n	simple	0	x
2153	CCNA_03669	CCNA_03669	3830733	3830389	-	n	3830759	x	x	x	TRUE	1	n	simple	0	x
2152	CCNA_03668	CCNA_03668	3829977	3829789	-	n	3830272	x	x	x	TRUE	1	n	simple	0	x
2149	CCNA_03663	CCNA_03662	3824760	3822013	-	y	3824817	x	x	x	TRUE	1	n	simple	0	x
2148	CCNA_03661	CCNA_03661	3821715	3821590	-	n	3821805	x	x	x	POTENTIAL	1	n	simple	0	x
2147	CCNA_03660	CCNA_03655	3821492	3816172	-	y	3821519	x	x	x	TRUE	1	y	complex	0	x
2393	CCNA_03910	CCNA_03910	3816086	3815979	-	n	3816154	x	x	x	TRUE	1	n	simple	0	x
2145	CCNA_03646	CCNA_03645	3805532	3803817	-	y	3805533	x	x	x	POTENTIAL	1	y	complex	0	x
2144	CCNA_03644	CCNA_03639	3803645	3798508	-	y	x	x	x	x	NO	0	y	complex	0	x
2141	CCNA_03636	CCNA_03636	3790714	3789689	-	n	3790714	x	x	x	POTENTIAL	1	n	simple	0	x
2140	CCNA_03635	CCNA_03996	3789477	3789044	-	y	x	x	x	x	NO	0	n	simple	0	x
2139	CCNA_03634	CCNA_03634	3788990	3788397	-	n	x	x	x	x	NO	0	n	simple	0	x
2136	CCNA_03630	CCNA_03629	3786790	3785533	-	y	3786919	x	x	x	TRUE	1	y	complex	0	x
2135	CCNA_03628	CCNA_03626	3785231	3781650	-	y	3785405	x	x	x	TRUE	1	n	simple	0	x
2133	CCNA_03624	CCNA_03624	3780188	3779178	-	n	3780218	x	x	x	TRUE	1	n	simple	0	x
2131	CCNA_03621	CCNA_03621	3777382	3776537	-	n	3777387	x	x	x	POTENTIAL	1	n	simple	0	x
2130	CCNA_03620	CCNA_03620	3776478	3775675	-	n	x	x	x	x	NO	0	n	simple	0	x
2126	CCNA_03612	CCNA_03610	3767276	3764334	-	y	3767304	x	x	x	TRUE	1	y	complex	0	x
2124	CCNA_03609	CCNA_03609	3763932	3762727	-	n	3764139	x	x	x	TRUE	1	n	simple	0	x
2123	CCNA_03607	CCNA_03604	3762239	3758872	-	y	3762321	x	x	x	TRUE	1	y	complex	0	x
2117	CCNA_03597	CCNA_03595	3750126	3748634	-	y	3750126	x	x	x	POTENTIAL	1	n	simple	0	x
2115	CCNA_03593	CCNA_03593	3747769	3746642	-	n	3747843	x	x	x	TRUE	1	n	simple	0	x
2114	CCNA_03592	CCNA_03592	3746511	3745966	-	n	x	x	x	x	NO	0	n	simple	0	x
2112	CCNA_03590	CCNA_03588	3744746	3742253	-	y	3744802	x	x	x	TRUE	1	y	complex	0	x
2111	CCNA_03587	CCNA_03587	3742163	3742020	-	n	3742209	x	x	x	TRUE	1	n	simple	0	x
2109	CCNA_03583	CCNA_03582	3739859	3738874	-	y	3739859	x	x	x	TRUE	1	y	complex	0	x
2107	CCNA_03580	CCNA_03580	3737900	3737442	-	n	x	x	x	x	NO	0	n	simple	0	x
2105	CCNA_03577	CCNA_03577	3734884	3731993	-	n	3734884	x	x	x	TRUE	1	n	simple	0	x
2104	CCNA_03576	CCNA_03576	3731929	3731648	-	n	x	x	x	x	NO	0	n	simple	0	x
2102	CCNA_03574	CCNA_03574	3730142	3727740	-	n	3730192	x	x	x	TRUE	1	y	complex	0	x
2101	CCNA_03573	CCNA_03573	3727622	3725877	-	n	3727854	3727648	x	x	TRUE	multiple	n	complex	0	x
2100.5	CCNA_03994	CCNA_03994	3725227	3725054	-	n	3725371	x	x	x	TRUE	1	y	complex	0	x
2423	CCNA_03993	CCNA_03993	3720816	3720400	-	n	3720825	x	x	x	TRUE	1	n	simple	0	x
2098	CCNA_03565	CCNA_03565	3720154	3719831	-	n	3720281	x	x	x	TRUE	1	n	simple	0	x
2097	CCNA_03564	CCNA_03564	3719677	3719438	-	n	3719677	x	x	x	TRUE	1	n	simple	0	x
2096	CCNA_03563	CCNA_03558	3719245	3714018	-	y	3719376	x	x	x	TRUE	1	y	complex	0	x
2095	CCNA_03557	CCNA_03557	3713810	3713085	-	n	3713873	3713862	x	x	TRUE	multiple	n	complex	0	x
2094	CCNA_03556	CCNA_03556	3712975	3712655	-	n	x	x	x	x	NO	0	n	simple	0	x
2091	CCNA_03549	CCNA_03549	3708144	3705742	-	n	x	x	x	x	NO	0	n	simple	0	x
2088	CCNA_03538	CCNA_03538	3697019	3696150	-	n	3697019	x	x	x	TRUE	1	n	simple	0	x
2085	CCNA_03533	CCNA_03533	3692168	3690375	-	n	3692168	x	x	x	TRUE	1	n	simple	0	x
2083	CCNA_03531	CCNA_03531	3688545	3687031	-	n	x	x	x	x	NO	0	n	simple	0	x
2082	CCNA_03530	CCNA_03530	3686966	3686586	-	n	x	x	x	x	NO	0	n	simple	0	x
2080	CCNA_03528	CCNA_03528	3685681	3684965	-	n	3685735	3685681	x	x	POTENTIAL	multiple	n	simple	0	x
2079	CCNA_03527	CCNA_03527	3684822	3683461	-	n	3684904	x	x	x	TRUE	1	n	simple	0	x
2077	CCNA_03525	CCNA_03524	3683352	3681121	-	y	x	x	x	x	NO	0	n	simple	0	x
2076	CCNA_03523	CCNA_03523	3680833	3680336	-	n	3681105	x	x	x	POTENTIAL	1	n	simple	0	x
2073	CCNA_03518	CCNA_03514	3676443	3671916	-	y	3676595	x	x	x	TRUE	1	y	complex	0	x
2073.1	CCNA_03513	CCNA_03513	3671846	3670974	-	n	3671907	x	x	x	TRUE	1	n	simple	0	x
2072	CCNA_03512	CCNA_03507	3670800	3664746	-	y	x	x	x	x	NO	0	y	complex	0	x
2070	CCNA_03505	CCNA_03505	3663961	3663479	-	n	3664061	3663995	x	x	TRUE	multiple	n	complex	0	x
2068	CCNA_03503	CCNA_03500	3661454	3657155	-	y	3661505	3661494	x	x	TRUE	multiple	y	complex	0	x
2066	CCNA_03496	CCNA_03496	3655925	3655158	-	n	3655925	x	x	x	POTENTIAL	1	n	simple	0	x
2065	CCNA_03495	CCNA_03493	3655060	3652689	-	y	3655137	x	x	x	TRUE	1	y	complex	0	x
2064	CCNA_03492	CCNA_03492	3652485	3651718	-	n	3652485	x	x	x	POTENTIAL	1	n	simple	0	x
2063	CCNA_03491	CCNA_03490	3651653	3650597	-	y	3651680	x	x	x	TRUE	1	y	complex	0	x
2062	CCNA_03489	CCNA_03489	3650528	3649563	-	n	3650782	x	x	x	TRUE	1	n	simple	0	x
2061	CCNA_03488	CCNA_03488	3649450	3648911	-	n	3649471	x	x	x	TRUE	1	n	simple	0	x
2059	CCNA_03486	CCNA_03484	3648524	3646621	-	y	3648524	x	x	x	TRUE	1	y	complex	0	x
2058	CCNA_03483	CCNA_03482	3646517	3644815	-	y	3646554	x	x	x	TRUE	1	n	simple	0	x
2056	CCNA_03479	CCNA_03479	3643258	3642812	-	n	x	x	x	x	NO	0	n	simple	0	x
2054	CCNA_03477	CCNA_03477	3641656	3641243	-	n	x	x	x	x	NO	0	n	simple	0	x
2052	CCNA_03474	CCNA_03473	3639765	3639149	-	y	3639786	x	x	x	TRUE	1	y	complex	0	x
2294	CCNA_03909	CCNA_03469	3637524	3635003	-	y	3637582	x	x	x	TRUE	1	n	simple	0	x
2047	CCNA_03467	CCNA_03467	3632938	3630434	-	n	x	x	x	x	NO	0	n	simple	0	x
2045	CCNA_03465	CCNA_03462	3629250	3624696	-	y	3629507	x	x	x	TRUE	1	y	complex	0	x
2044	CCNA_03461	CCNA_03460	3624564	3623648	-	y	3624679	3624626	x	x	POTENTIAL	multiple	n	simple	0	x
2042	CCNA_03992	CCNA_03457	3621718	3620488	-	y	3621854	x	x	x	TRUE	1	y	complex	0	x
2038	CCNA_03453	CCNA_03452	3617341	3616454	-	y	3617341	x	x	x	POTENTIAL	1	n	simple	0	x
2035	CCNA_03449	CCNA_03447	3615472	3613084	-	y	3615491	x	x	x	TRUE	1	n	simple	0	x
2034	CCNA_03446	CCNA_03446	3612993	3611128	-	n	3613025	x	x	x	POTENTIAL	1	n	simple	0	x
2031	CCNA_03443	CCNA_03440	3605787	3603496	-	y	3605856	x	x	x	TRUE	1	y	complex	0	x
2030	CCNA_03439	CCNA_03439	3603389	3603264	-	n	3603431	x	x	x	TRUE	1	n	simple	0	x
2029	CCNA_03438	CCNA_03437	3603162	3602289	-	y	3603431	x	x	x	TRUE	1	n	simple	0	x
2026	CCNA_03432	CCNA_03432	3596454	3595609	-	n	3596477	x	x	x	TRUE	1	n	simple	0	x
2024	CCNA_03430	CCNA_03429	3594108	3593366	-	y	3594185	x	x	x	TRUE	1	n	simple	0	x
2023	CCNA_03428	CCNA_03907	3593264	3592612	-	y	3593296	x	x	x	TRUE	1	n	simple	0	x
2021	CCNA_03426	CCNA_03426	3592315	3591851	-	n	3592579	x	x	x	TRUE	1	n	simple	0	x
2019	CCNA_03423	CCNA_03421	3590120	3586537	-	y	3590244	3590219	3590131	3590120	TRUE	multiple	y	complex	0	x
2017	CCNA_03418	CCNA_03417	3585241	3583841	-	y	3585241	x	x	x	POTENTIAL	1	n	simple	0	x
2016	CCNA_03416	CCNA_03416	3583769	3582768	-	n	3583792	x	x	x	POTENTIAL	1	n	simple	0	x
2015	CCNA_03415	CCNA_03415	3582704	3582474	-	n	3582735	3582723	x	x	TRUE	multiple	n	complex	0	x
2014	CCNA_03414	CCNA_03412	3582355	3579405	-	y	x	x	x	x	NO	0	n	simple	0	x
2013	CCNA_03410	CCNA_03407	3578569	3574358	-	y	3578625	x	x	x	TRUE	1	y	complex	0	x
2011	CCNA_03405	CCNA_03405	3573867	3573190	-	n	3573867	x	x	x	TRUE	1	n	simple	0	x
2008	CCNA_03402	CCNA_03402	3572206	3571232	-	n	3572233	x	x	x	TRUE	1	n	simple	0	x
2007	CCNA_03401	CCNA_03401	3571091	3570378	-	n	3571141	3571106	x	x	TRUE	multiple	n	complex	0	x
2005	CCNA_03399	CCNA_03397	3569994	3568610	-	y	x	x	x	x	NO	0	y	complex	0	x
2001	CCNA_03393	CCNA_03392	3565342	3563760	-	y	x	x	x	x	NO	0	n	simple	0	x
1999	CCNA_03389	CCNA_03387	3562923	3560500	-	y	x	x	x	x	NO	0	y	complex	0	x
1997	CCNA_03385	CCNA_03385	3558134	3557646	-	n	3558134	x	x	x	TRUE	1	n	simple	0	x
1995	CCNA_03383	CCNA_03383	3557088	3555235	-	n	3557206	3557108	x	x	TRUE	multiple	n	complex	0	x
1993	CCNA_03380	CCNA_03379	3552536	3551638	-	y	3552556	x	x	x	TRUE	1	n	simple	0	x
1991	CCNA_03377	CCNA_03375	3550669	3548806	-	y	x	x	x	x	NO	0	y	complex	0	x
1988	CCNA_03372	CCNA_03372	3547542	3547357	-	n	3547570	x	x	x	TRUE	1	n	simple	0	x
1988.1	CCNA_03371	CCNA_03371	3547204	3546725	-	n	3547236	3547229	x	x	TRUE	multiple	n	complex	0	x
1986	CCNA_03369	CCNA_03369	3546042	3545467	-	n	3546114	x	x	x	TRUE	1	n	simple	0	x
1981	CCNA_03362	CCNA_03273	3541812	3540642	-	y	x	x	x	x	NO	0	n	simple	0	x
2391	CCNA_03905	CCNA_03905	3540480	3539800	-	n	3540545	x	x	x	TRUE	1	n	simple	0	x
1979	CCNA_03357	CCNA_03356	3535900	3535187	-	y	3535977	3535969	x	x	TRUE	multiple	n	complex	0	x
1978	CCNA_03355	CCNA_03355	3535117	3533132	-	n	3535125	x	x	x	TRUE	1	y	complex	0	x
1977	CCNA_03354	CCNA_03353	3532797	3531298	-	y	3533067	x	x	x	TRUE	1	n	simple	0	x
1976	CCNA_03352	CCNA_03352	3531203	3530448	-	n	3531240	x	x	x	TRUE	1	n	simple	0	x
1975	CCNA_03351	CCNA_03351	3530380	3529418	-	n	x	x	x	x	NO	0	n	simple	0	x
1973	CCNA_03349	CCNA_03349	3529166	3528978	-	n	x	x	x	x	NO	0	n	simple	0	x
2422	CCNA_03991	CCNA_03991	3527956	3527624	-	n	3527972	x	x	x	POTENTIAL	1	n	simple	0	x
1970	CCNA_03346	CCNA_03342	3526355	3522887	-	y	3526370	x	x	x	POTENTIAL	1	n	simple	0	x
1970.1	CCNA_03341	CCNA_03338	3522772	3519403	-	y	3522811	x	x	x	TRUE	1	y	complex	0	x
1970.2	CCNA_03337	CCNA_03335	3519206	3516491	-	y	3519219	x	x	x	TRUE	1	n	simple	0	x
1970.3	CCNA_03334	CCNA_03328	3516394	3509078	-	y	3516442	x	x	x	TRUE	1	y	complex	0	x
1962	CCNA_03325	CCNA_03321	3506512	3502114	-	y	3506537	x	x	x	TRUE	1	y	complex	0	x
1960	CCNA_03319	CCNA_03319	3498732	3497932	-	n	3498737	x	x	x	TRUE	1	n	simple	0	x
1959	CCNA_03318	CCNA_03318	3497750	3496374	-	n	x	x	x	x	NO	0	n	simple	0	x
1958	CCNA_03317	CCNA_03317	3496248	3492997	-	n	x	x	x	x	NO	0	n	simple	0	x
1954	CCNA_03313	CCNA_03313	3488355	3487939	-	n	3488390	x	x	x	TRUE	1	n	simple	0	x
1952	CCNA_03311	CCNA_03310	3487334	3486449	-	y	3487601	x	x	x	TRUE	1	y	complex	0	x
1950	CCNA_03306	CCNA_03303	3484041	3479680	-	y	3484262	x	x	x	TRUE	1	y	complex	0	x
1949	CCNA_03302	CCNA_03302	3479457	3478474	-	n	3479477	x	x	x	TRUE	1	n	simple	0	x
1947	CCNA_03298	CCNA_03298	3472583	3469206	-	n	x	x	x	x	NO	0	n	simple	0	x
1944	CCNA_03294	CCNA_03294	3464447	3463221	-	n	3464543	x	x	x	TRUE	1	n	simple	0	x
1943	CCNA_03293	CCNA_03292	3462811	3459075	-	y	3462840	x	x	x	POTENTIAL	1	n	simple	0	x
1942	CCNA_03291	CCNA_03290	3458947	3457415	-	y	3459083	x	x	x	POTENTIAL	1	n	simple	0	x
1940	CCNA_03287	CCNA_03286	3456741	3455888	-	y	3456741	x	x	x	TRUE	1	n	simple	0	x
1937	CCNA_03283	CCNA_03283	3453721	3452702	-	n	3453744	x	x	x	TRUE	1	n	simple	0	x
1934	CCNA_03280	CCNA_03280	3450943	3447503	-	n	3450975	x	x	x	TRUE	1	y	complex	0	x
1933	CCNA_03279	CCNA_03279	3447247	3446411	-	n	3447306	x	x	x	POTENTIAL	1	n	simple	0	x
1932	CCNA_03278	CCNA_03278	3446265	3445147	-	n	3446265	x	x	x	TRUE	1	n	simple	0	x
1931	CCNA_03277	CCNA_03277	3445041	3443992	-	n	x	x	x	x	NO	0	n	simple	0	x
1929	CCNA_03275	CCNA_03274	3442846	3442639	-	y	x	x	x	x	NO	0	n	simple	0	x
1928	CCNA_03271	CCNA_03271	3440587	3439382	-	n	3440601	x	x	x	POTENTIAL	1	n	simple	0	x
1925	CCNA_03268	CCNA_03268	3438181	3437828	-	n	3438213	x	x	x	TRUE	1	n	simple	0	x
1923	CCNA_03266	CCNA_03266	3436996	3436670	-	n	3436996	x	x	x	TRUE	1	n	simple	0	x
1919	CCNA_03262	CCNA_03259	3431492	3429300	-	y	x	x	x	x	NO	0	n	simple	0	x
1916	CCNA_03255	CCNA_03255	3427053	3426607	-	n	3427074	x	x	x	TRUE	1	n	simple	0	x
2421	CCNA_03989	CCNA_03989	3423167	3422208	-	n	3423190	x	x	x	TRUE	1	n	simple	0	x
1909	CCNA_03246	CCNA_03246	3413435	3412371	-	n	3413590	x	x	x	TRUE	1	n	simple	0	x
1907	CCNA_03244	CCNA_03242	3410946	3407266	-	y	x	x	x	x	NO	0	y	complex	0	x
1906	CCNA_03241	CCNA_03233	3407138	3397643	-	y	x	x	x	x	NO	0	y	complex	0	x
1905	CCNA_03988	CCNA_03228	3397646	3392256	-	y	3397743	x	x	x	POTENTIAL	1	n	simple	0	x
1903	CCNA_03227	CCNA_03225	3392125	3387075	-	y	3392151	x	x	x	TRUE	1	y	complex	0	x
1902	CCNA_03224	CCNA_03224	3386956	3386717	-	n	3387038	3386990	3386972	x	TRUE	multiple	n	complex	0	x
1899	CCNA_03217	CCNA_03217	3378587	3377955	-	n	3378635	x	x	x	POTENTIAL	1	n	simple	0	x
1898	CCNA_03216	CCNA_03216	3377777	3377577	-	n	3377926	x	x	x	TRUE	1	n	simple	0	x
1896	CCNA_03214	CCNA_03214	3376166	3375756	-	n	3376208	x	x	x	TRUE	1	n	simple	0	x
1894	CCNA_03212	CCNA_03211	3375323	3374076	-	y	3375343	x	x	x	POTENTIAL	1	n	simple	0	x
1892	CCNA_03209	CCNA_03208	3372908	3370723	-	y	x	x	x	x	NO	0	y	complex	0	x
1887	CCNA_03202	CCNA_03202	3363765	3363139	-	n	3363888	x	x	x	TRUE	1	y	complex	0	x
1886	CCNA_03201	CCNA_03201	3363018	3361732	-	n	3363139	x	x	x	TRUE	1	n	simple	0	x
1885	CCNA_03200	CCNA_03200	3361634	3359910	-	n	3361660	x	x	x	TRUE	1	n	simple	0	x
1884	CCNA_03199	CCNA_03199	3359806	3358667	-	n	x	x	x	x	NO	0	n	simple	0	x
1883	CCNA_03198	CCNA_03198	3358591	3357782	-	n	3358604	x	x	x	TRUE	1	n	simple	0	x
1881	CCNA_03196	CCNA_03196	3356855	3356661	-	n	x	x	x	x	NO	0	n	simple	0	x
1879	CCNA_03194	CCNA_03192	3355417	3353828	-	y	3355531	3355485	x	x	TRUE	multiple	y	complex	0	x
1878	CCNA_03191	CCNA_03191	3353673	3351427	-	n	3353688	x	x	x	TRUE	1	y	complex	0	x
1875	CCNA_03186	CCNA_03186	3347602	3346487	-	n	x	x	x	x	NO	0	n	simple	0	x
1873	CCNA_03184	CCNA_03184	3345748	3344054	-	n	x	x	x	x	NO	0	n	simple	0	x
1873.1	CCNA_03183	CCNA_03182	3343900	3341862	-	y	3344053	x	x	x	TRUE	1	y	complex	0	x
1871	CCNA_03180	CCNA_03180	3340147	3339416	-	n	3340376	3340246	3340147	x	POTENTIAL	multiple	n	simple	0	x
1868	CCNA_03178	CCNA_03175	3338066	3334806	-	y	3338109	x	x	x	TRUE	1	n	simple	0	x
1866	CCNA_03172	CCNA_03170	3332722	3328757	-	y	x	x	x	x	NO	0	y	complex	0	x
1864	CCNA_03168	CCNA_03168	3327722	3326871	-	n	3327748	x	x	x	TRUE	1	n	simple	0	x
1863	CCNA_03167	CCNA_03167	3326630	3325776	-	n	x	x	x	x	NO	0	n	simple	0	x
1861	CCNA_03165	CCNA_03165	3324974	3323565	-	n	x	x	x	x	NO	0	n	simple	0	x
1859	CCNA_03163	CCNA_03162	3320395	3317963	-	y	3320694	x	x	x	TRUE	1	n	simple	0	x
1857	CCNA_03160	CCNA_03160	3316611	3316096	-	n	3316611	x	x	x	POTENTIAL	1	n	simple	0	x
1851	CCNA_03150	CCNA_03150	3306284	3306126	-	n	x	x	x	x	NO	0	n	simple	0	x
1846	CCNA_03144	CCNA_03144	3298424	3296493	-	n	3298452	x	x	x	POTENTIAL	1	n	simple	0	x
1845	CCNA_03143	CCNA_03143	3296371	3294602	-	n	3296437	x	x	x	TRUE	1	n	simple	0	x
1844	CCNA_03142	CCNA_03142	3294208	3292250	-	n	x	x	x	x	NO	0	y	complex	0	x
1842	CCNA_03139	CCNA_03139	3290322	3288469	-	n	3290345	x	x	x	POTENTIAL	1	n	simple	0	x
2420	CCNA_03986	CCNA_03986	3285835	3285449	-	n	3285917	x	x	x	TRUE	1	y	complex	0	x
1838	CCNA_03133	CCNA_03131	3281524	3280062	-	y	3281528	x	x	x	TRUE	1	y	complex	0	x
1837	CCNA_03130	CCNA_03130	3279647	3278952	-	n	3279769	3279737	3279712	x	TRUE	multiple	n	complex	0	x
1836	CCNA_03129	CCNA_03129	3278692	3277316	-	n	x	x	x	x	NO	0	n	simple	0	x
1835	CCNA_03128	CCNA_03128	3277110	3276178	-	n	x	x	x	x	NO	0	n	simple	0	x
1831	CCNA_03123	CCNA_03121	3269770	3268559	-	y	3269770	x	x	x	POTENTIAL	1	y	complex	0	x
1828.1	CCNA_03119	CCNA_03119	3267882	3267484	-	n	3267934	x	x	x	TRUE	1	n	simple	0	x
1828	CCNA_03118	CCNA_03118	3267282	3267043	-	n	3267310	x	x	x	TRUE	1	n	simple	0	x
1825	CCNA_03113	CCNA_03113	3264499	3263780	-	n	3264597	x	x	x	TRUE	1	n	simple	0	x
1824	CCNA_03112	CCNA_03112	3263242	3261956	-	n	3263242	x	x	x	POTENTIAL	1	n	simple	0	x
1823	CCNA_03110	CCNA_03110	3261728	3261360	-	n	3261779	x	x	x	TRUE	1	n	simple	0	x
